region,method,display,sessions,worst_5pct_session_count,worst_5pct_rebuffer_s,worst_10pct_session_count,worst_10pct_rebuffer_s,maximum_rebuffer_s,severe_session_count,severe_session_ratio,severe_session_wilson_ci_low,severe_session_wilson_ci_high,qoe,average_bitrate_mbps,total_rebuffer_s,startup_delay_s,smoothness_penalty_mbps,wasted_traffic_ratio,preflight_capped_decisions,rescue_decisions
us,lumos_mpc,Lumos,10,1,66.6747000017166,1,66.6747000017166,66.6747000017166,10,1.0,0.7224672001371107,0.9999999999999999,3673.2523999748228,112.04583333333332,37.87369000062942,1.1689300002098082,190.0,0.0,0.0,0.0
us,robust_mpc,RobustMPC,10,1,11.31029999923706,1,11.31029999923706,11.31029999923706,2,0.2,0.05668215145437519,0.5098375284633583,4270.798800006867,96.70208333333333,3.9025299998283387,1.1722699999809265,214.8,0.0,0.0,0.0
us,safesabr_selective_rescue,SafeSABR,10,1,9.361099999427795,1,9.361099999427795,9.361099999427795,0,0.0,0.0,0.2775327998628892,4322.399600006103,100.80625,2.550009999847412,1.0998200001716614,414.3,0.009839531137258618,3.1,3.6
us,sara,SARA,10,1,11.09660000038147,1,11.09660000038147,11.09660000038147,1,0.1,0.017876213095072896,0.4041500267952385,4344.252399993897,97.76041666666667,3.8461900001525877,1.164229999923706,194.4,0.0,0.0,0.0
us,starnet_mpc,StarNet,10,1,74.84010000133514,1,74.84010000133514,74.84010000133514,10,1.0,0.7224672001371107,0.9999999999999999,3817.555200000763,115.79166666666667,40.71111999998093,1.1261900000572205,112.0,0.0,0.0,0.0
us,wabb,WABB,10,1,57.28100000095369,1,57.28100000095369,57.28100000095369,9,0.9,0.5958499732047615,0.9821237869049271,1781.427600021362,93.66666666666667,25.764309999465944,1.1705099999427797,1684.0,0.0,0.0,0.0
vic,cmab,CMAB,10,1,135.79950000190735,1,135.79950000190735,135.79950000190735,6,0.6,0.31267376973365824,0.8318196702937638,3775.413999961853,117.66666666666667,44.01465000095367,1.0047300000190735,112.0,0.0,0.0,0.0
vic,dash_dynamic,dash.js Dynamic,10,1,3.75660000038147,1,3.75660000038147,3.75660000038147,0,0.0,0.0,0.2775327998628892,2154.242800003052,49.64583333333333,0.988929999923706,0.7796499999046326,189.2,0.0012817466937356423,0.0,0.0
vic,lumos_mpc,Lumos,10,1,87.64779999923705,1,87.64779999923705,87.64779999923705,10,1.0,0.7224672001371107,0.9999999999999999,2359.3096000328064,106.15625,58.40475999917984,1.0680399998664856,400.0,0.0,0.0,0.0
vic,robust_mpc,RobustMPC,10,1,33.02100000095367,1,33.02100000095367,33.02100000095367,4,0.4,0.16818032970623614,0.6873262302663417,3065.285599998474,81.86458333333334,13.445360000038146,1.0191800001144409,326.4,0.0,0.0,0.0
vic,safesabr_selective_rescue,SafeSABR,10,1,16.74090000152588,1,16.74090000152588,16.74090000152588,4,0.4,0.16818032970623614,0.6873262302663417,3404.282799976349,87.53125,8.735430000591277,1.0292999999046326,447.8,0.018394692453221666,3.1,4.7
vic,sara,SARA,10,1,31.37310000228882,1,31.37310000228882,31.37310000228882,5,0.5,0.236593090512564,0.7634069094874361,2928.0331999855043,80.43958333333333,14.051670000362396,1.013839999961853,371.0,0.0,0.0,0.0
vic,starnet_mpc,StarNet,10,1,80.96219999599458,1,80.96219999599458,80.96219999599458,10,1.0,0.7224672001371107,0.9999999999999999,2162.083600028992,89.83958333333334,46.305409999275206,0.9941699999809265,298.0,0.0,0.0,0.0
vic,wabb,WABB,10,1,58.34079999828338,1,58.34079999828338,58.34079999828338,10,1.0,0.7224672001371107,0.9999999999999999,1570.8156000175477,77.79166666666667,25.77960999956131,1.0291300000190735,1132.0,0.0,0.0,0.0
