method,region,trace_id,qoe,average_bitrate_mbps,total_rebuffer_s,startup_delay_s,smoothness_penalty_mbps,wasted_traffic_ratio,preflight_capped_decisions,rescue_decisions,severe_session
safesabr_selective_rescue,osn,osn_recording_062_window_001.trace,3107.164000015259,91.27083333333333,12.945899999618533,0.9496000003814697,756,0.029157327926987914,3,7,1
safesabr_selective_rescue,osn,osn_recording_046_window_000.trace,4848.72,111.41666666666667,2.182,0.9231999998092651,412,0.0008570093839007976,2,1,0
safesabr_selective_rescue,osn,osn_recording_077_window_001.trace,5375.992000007629,115.79166666666667,1.7501999998092652,0.9598000001907349,112,0,0,0,0
safesabr_selective_rescue,osn,osn_recording_112_window_001.trace,3995.323999977112,104.04166666666667,8.816900000572204,0.9605,646,0.026029916297644836,2,3,0
safesabr_selective_rescue,osn,osn_recording_118_window_000.trace,2029.5840000915528,64.39583333333333,9.48539999771118,1.041699999809265,682,0.0322644215372391,8,11,0
safesabr_selective_rescue,osn,osn_recording_064_window_000.trace,1167.7560000228882,46.75,4.206099999427795,1.2158000001907348,908,0.06133107782050906,7,14,0
safesabr_selective_rescue,us,us_recording_238_window_008.trace,5446,115.79166666666667,0,0.8684000005722046,112,0,0,0,0
safesabr_selective_rescue,us,us_recording_223_window_004.trace,5131,112.35416666666667,0,0.9406999998092651,262,0.0004916829509465113,1,1,0
safesabr_selective_rescue,us,us_recording_196_window_014.trace,5386,114.54166666666667,0,0.9888999996185303,112,0.002042440879232538,0,1,0
safesabr_selective_rescue,us,us_recording_222_window_001.trace,4820.324000015259,110.95833333333333,1.2418999996185303,0.8065999994277954,456,0.0027834889509008058,1,2,0
safesabr_selective_rescue,us,us_recording_192_window_007.trace,5430.332000007629,115.79166666666667,0.3916999998092651,0.9873999996185303,112,0,0,0,0
safesabr_selective_rescue,us,us_recording_203_window_004.trace,4769.632000007629,107.35416666666667,1.5341999998092652,0.9921000003814697,322,0.0055788899971522836,0,4,0
safesabr_selective_rescue,us,us_recording_213_window_006.trace,4445.935999946594,103.29166666666667,2.5016000013351443,0.9999000005722046,412,0.0046097951027532814,3,3,0
safesabr_selective_rescue,us,us_recording_226_window_005.trace,3460.556000022888,93.35416666666667,9.361099999427795,0.9769000005722046,646,0.019791726836462367,7,6,0
safesabr_selective_rescue,us,us_recording_225_window_004.trace,2594.660000038147,86.64583333333333,8.358499999046327,0.9387000007629395,1230,0.0450359696137129,7,8,0
safesabr_selective_rescue,us,us_recording_212_window_001.trace,1739.556000022888,47.979166666666664,2.111099999427796,2.4986000003814697,479,0.01806131704142549,12,11,0
safesabr_selective_rescue,vic,vic_recording_148_window_000.trace,4175.883999977112,106.41666666666667,10.752900000572204,0.9176999998092651,502,0.026034771658502542,1,4,1
safesabr_selective_rescue,vic,vic_recording_143_window_000.trace,5446,115.79166666666667,0,0.8981999998092651,112,0,0,0,0
safesabr_selective_rescue,vic,vic_recording_122_window_000.trace,4942.291999969482,113.29166666666667,6.59270000076294,0.8805999994277954,232,0,2,0,0
safesabr_selective_rescue,vic,vic_recording_123_window_000.trace,5221.551999931336,115.79166666666667,5.611200001716613,1.0620999994277953,112,0,0,0,0
safesabr_selective_rescue,vic,vic_recording_130_window_000.trace,4936.611999969482,113.29166666666667,6.734700000762939,1.0354000005722046,232,0.00221286467448146,1,1,0
safesabr_selective_rescue,vic,vic_recording_107_window_000.trace,2565.556000022888,74.08333333333333,11.861099999427797,0.9583999996185303,516,0.040021515882752066,3,10,1
safesabr_selective_rescue,vic,vic_recording_131_window_000.trace,2851.9880000305175,82.35416666666667,8.97529999923706,1.0609000005722047,742,0.019660236417005192,7,8,0
safesabr_selective_rescue,vic,vic_recording_135_window_000.trace,1502.559999961853,60.583333333333336,9.536000000953674,0.9555,1024,0.05015221430729016,10,11,0
safesabr_selective_rescue,vic,vic_recording_111_window_000.trace,1463.019999961853,53.645833333333336,10.549500000953673,1.3093999996185304,690,0.014799775330786642,3,4,1
safesabr_selective_rescue,vic,vic_recording_112_window_000.trace,937.3639999389648,40.0625,16.74090000152588,1.2148000001907349,316,0.031065546261398597,4,9,1
sara,osn,osn_recording_099_window_001.trace,4918.264000015259,108.60416666666667,1.5683999996185303,0.8834000005722046,232,0,0,0,0
sara,osn,osn_recording_080_window_001.trace,4661.164000053406,105.79166666666667,7.620899998664855,0.933,112,0,0,0,0
sara,osn,osn_recording_093_window_000.trace,4960.476000022888,111.41666666666667,6.888099999427795,1.109,112,0,0,0,0
sara,osn,osn_recording_063_window_000.trace,4128.524000015259,92.66666666666667,2.1868999996185305,0.9458000001907348,232,0,0,0,0
sara,osn,osn_recording_062_window_001.trace,2872.335999984741,81.27083333333333,15.416600000381466,0.9514000005722046,412,0,0,0,1
sara,osn,osn_recording_046_window_000.trace,5147.127999992371,111.41666666666667,2.221800000190735,0.8281999998092652,112,0,0,0,0
sara,osn,osn_recording_077_window_001.trace,5109.196000022888,112.66666666666667,1.6700999994277956,0.9253000001907349,232,0,0,0,0
sara,osn,osn_recording_112_window_001.trace,4696.507999992371,100.64583333333333,0.5623000001907349,0.8448000001907349,112,0,0,0,0
sara,osn,osn_recording_118_window_000.trace,2295.2919999694823,63.458333333333336,11.46770000076294,0.9801000003814697,292,0,0,0,1
sara,osn,osn_recording_064_window_000.trace,1257.583999900818,44.270833333333336,10.285400002479552,1.1416999998092652,456,0,0,0,1
sara,us,us_recording_238_window_008.trace,5280.124000015258,112.35416666666667,0.021899999618530272,0.8903000001907349,112,0,0,0,0
sara,us,us_recording_223_window_004.trace,5219.696000022888,111.27083333333333,0.2325999994277954,0.8913000001907349,112,0,0,0,0
sara,us,us_recording_196_window_014.trace,5236,111.41666666666667,0,0.9095999994277955,112,0,0,0,0
sara,us,us_recording_222_window_001.trace,4871.711999969482,107.66666666666667,1.6072000007629395,0.8678999996185303,232,0,0,0,0
sara,us,us_recording_192_window_007.trace,5164.98,110.79166666666667,1.0255,0.9094000005722046,112,0,0,0,0
sara,us,us_recording_203_window_004.trace,5076.991999931335,109.22916666666667,1.3502000017166136,0.93,112,0,0,0,0
sara,us,us_recording_213_window_006.trace,4398.02,97.97916666666667,4.8245000000000005,1.0078999996185303,112,0,0,0,0
sara,us,us_recording_226_window_005.trace,2697.316000022888,73.91666666666667,8.717099999427795,0.9768000001907349,502,0,0,0,0
sara,us,us_recording_225_window_004.trace,3652.1359999847414,92.04166666666667,11.09660000038147,0.9332999992370605,322,0,0,0,1
sara,us,us_recording_212_window_001.trace,1845.5479999923705,50.9375,9.586300000190734,3.325800000190735,216,0,0,0,0
sara,vic,vic_recording_148_window_000.trace,3715.763999977112,98.29166666666667,13.255900000572206,0.9318999996185303,472,0,0,0,1
sara,vic,vic_recording_143_window_000.trace,5169,110.02083333333333,0,0.9321999998092652,112,0,0,0,0
sara,vic,vic_recording_122_window_000.trace,3950.815999984741,95.79166666666667,7.37960000038147,0.9647000007629395,352,0,0,0,0
sara,vic,vic_recording_123_window_000.trace,4318.104000015259,102.04166666666667,5.697399999618531,0.9440999994277954,352,0,0,0,0
sara,vic,vic_recording_130_window_000.trace,4485.384000015259,106.41666666666667,6.765399999618531,1.0473999996185304,352,0,0,0,0
sara,vic,vic_recording_107_window_000.trace,2181.0759999084476,80.79166666666667,31.37310000228882,0.9229000005722046,442,0,0,0,1
sara,vic,vic_recording_131_window_000.trace,3010.2119999694823,78.60416666666667,9.519700000762938,1.0514000005722046,382,0,0,0,0
sara,vic,vic_recording_135_window_000.trace,1171.5959999847414,50.958333333333336,20.210100000381466,0.9506999998092651,466,0,0,0,1
sara,vic,vic_recording_111_window_000.trace,1061.0480000305176,44.5625,15.89879999923706,1.2475,442,0,0,0,1
sara,vic,vic_recording_112_window_000.trace,217.33199996948247,36.916666666666664,30.416700000762937,1.1455999994277954,338,0,0,0,1
starnet_mpc,osn,osn_recording_099_window_001.trace,5463.447999992371,117.66666666666667,1.8138000001907348,0.8676999998092652,112,0,0,0,0
